	Protein Inference	Main Accession	Description	Protein Group	Secondary Accessions	Chromosome	Gene Name	Taxonomy	Organism Identifier	Validated Coverage [%]	All Coverage [%]	Possible Coverage [%]	#Peptides	#Validated Peptides	#Unique Peptides	#Validated Unique Peptides	#PSMs	#Validated PSMs	Confidently Localized Modification Sites	#Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Spectrum Counting	MW [kDa]	Confidence [%]	Validation
529	Related Proteins	MGYP000161191899		MGYP000161191899,MGYP000316538772,MGYP000339037239,MGYP000652697088,MGYP000734180470,MGYP000905546986,MGYP000922215195,MGYP001070967939,MGYP001073016328,MGYP001073029303,MGYP001185278924,MGYP001219135226,MGYP001220462962,MGYP001238797155,MGYP001265133464,MGYP001265433125,MGYP001281536787,MGYP001281666896,MGYP001282728180,MGYP001282733024,MGYP001307089835,MGYP001311718661,MGYP001334601390,MGYP001351210454,MGYP003682838335,MGYP003683598481,MGYP003683773997,MGYP003684362563,MGYP003684404343,MGYP003686805493,MGYP003687269685,MGYP003687919973,MGYP003688518317,MGYP003689956435,MGYP003691327559,MGYP003691423441	MGYP000316538772,MGYP000339037239,MGYP000652697088,MGYP000734180470,MGYP000905546986,MGYP000922215195,MGYP001070967939,MGYP001073016328,MGYP001073029303,MGYP001185278924,MGYP001219135226,MGYP001220462962,MGYP001238797155,MGYP001265133464,MGYP001265433125,MGYP001281536787,MGYP001281666896,MGYP001282728180,MGYP001282733024,MGYP001307089835,MGYP001311718661,MGYP001334601390,MGYP001351210454,MGYP003682838335,MGYP003683598481,MGYP003683773997,MGYP003684362563,MGYP003684404343,MGYP003686805493,MGYP003687269685,MGYP003687919973,MGYP003688518317,MGYP003689956435,MGYP003691327559,MGYP003691423441					14.29	14.29	87.14	1	1	1	1	1	1					161.913168669689	7.633840252492499	73.36412625096229	Doubtful
530	Related Proteins	MGYP000408293780		MGYP000408293780,MGYP003682057557,MGYP003686077921	MGYP003682057557,MGYP003686077921					8.29	8.29	85.64	1	1	1	1	1	1					63.720666379684054	20.38175518700951	64.0	Doubtful
531	Related Proteins	MGYP000648540559		MGYP000648540559,MGYP003682520103,MGYP003684742881,MGYP003686124239,MGYP003687810579,MGYP003689177513,MGYP003689422189	MGYP003682520103,MGYP003684742881,MGYP003686124239,MGYP003687810579,MGYP003689177513,MGYP003689422189					2.37	2.37	49.05	2	2	1	1	2	2					23.88561859456113	115.73394695069756	73.36412625096229	Confident
532	Related Proteins	MGYP003682551917		MGYP003682551917,MGYP003683288403,MGYP003684701731,MGYP003687346449,MGYP003687687305,MGYP003690040839,MGYP003692107997	MGYP003683288403,MGYP003684701731,MGYP003687346449,MGYP003687687305,MGYP003690040839,MGYP003692107997					5.47	5.47	68.36	1	1	1	1	1	1					42.5719969347027	27.41256690508007	73.36412625096229	Doubtful
533	Related Proteins	MGYP003682040381		MGYP003682040381,MGYP003682286869,MGYP003683301073,MGYP003683391887,MGYP003685141505,MGYP003685971027,MGYP003686522123,MGYP003686673585	MGYP003682286869,MGYP003683301073,MGYP003683391887,MGYP003685141505,MGYP003685971027,MGYP003686522123,MGYP003686673585					22.02	22.02	70.83	2	2	1	1	2	2					97.46746666629303	18.31343070318308	73.36412625096229	Doubtful
534	Related Proteins	MGYP000629106300		MGYP000629106300,MGYP003683524717,MGYP003683710767,MGYP003684334213,MGYP003687137749,MGYP003689348917	MGYP003683524717,MGYP003683710767,MGYP003684334213,MGYP003687137749,MGYP003689348917					15.38	15.38	85.71	1	1	1	1	1	1					126.62440113911575	9.36992843726213	73.36412625096229	Doubtful
535	Related Proteins	MGYP003682549983		MGYP003682549983,MGYP003683158663,MGYP003684715027,MGYP003686119829	MGYP003683158663,MGYP003684715027,MGYP003686119829					6.98	6.98	31.78	1	1	1	1	1	1					52.53565579176078	27.06803355424703	73.36412625096229	Doubtful
536	Related Proteins	MGYP003682945011		MGYP003682945011,MGYP003683981195	MGYP003683981195					2.25	2.25	58.81	1	1	1	1	1	1					22.498185168225575	54.15505677681864	73.36412625096229	Doubtful
537	Related Proteins	MGYP000158451855		MGYP000158451855,MGYP000329273254,MGYP001575798183,MGYP003682070601,MGYP003682703973,MGYP003685931969,MGYP003688088529	MGYP000329273254,MGYP001575798183,MGYP003682070601,MGYP003682703973,MGYP003685931969,MGYP003688088529					19.84	19.84	67.46	2	2	1	1	2	2					179.57642343365504	13.22692140797144	73.36412625096229	Confident
538	Single Protein	MGYP003686887547		MGYP003686887547						35.14	35.14	86.49	1	1	1	1	1	1					308.6469777765946	4.3241527827539805	64.0	Doubtful
539	Related Proteins	MGYP003684435707		MGYP003684435707,MGYP003684516403	MGYP003684516403					10.64	10.64	90.96	1	1	1	1	1	1					57.75849876521069	20.512150058460097	73.36412625096229	Doubtful
540	Related Proteins	MGYP000201879859		MGYP000201879859,MGYP000417447820,MGYP003682672939,MGYP003682947359,MGYP003683199415,MGYP003684121407,MGYP003684650909,MGYP003685592009,MGYP003686172953,MGYP003686801949,MGYP003688326583,MGYP003688491171,MGYP003689247549,MGYP003689440313,MGYP003691531287,MGYP003691679755,MGYP003691687609	MGYP000417447820,MGYP003682672939,MGYP003682947359,MGYP003683199415,MGYP003684121407,MGYP003684650909,MGYP003685592009,MGYP003686172953,MGYP003686801949,MGYP003688326583,MGYP003688491171,MGYP003689247549,MGYP003689440313,MGYP003691531287,MGYP003691679755,MGYP003691687609					24.0	24.0	58.67	1	1	1	1	1	1					141.0957612693004	7.80500478374673	73.36412625096229	Doubtful
541	Related Proteins	MGYP003685505017		MGYP003685505017,MGYP003686421175	MGYP003686421175					8.95	8.95	83.68	1	1	1	1	1	1					62.11763074749075	21.01610856646213	73.36412625096229	Doubtful
542	Related Proteins	MGYP000464318304		MGYP000464318304,MGYP000595591578,MGYP001078064005,MGYP003683441391,MGYP003686202191,MGYP003687965927,MGYP003689046331	MGYP000595591578,MGYP001078064005,MGYP003683441391,MGYP003686202191,MGYP003687965927,MGYP003689046331					16.05	16.05	90.12	1	1	1	1	1	1					135.29730532672642	8.79210233646884	73.36412625096229	Doubtful
543	Related Proteins	MGYP003682206577		MGYP003682206577,MGYP003683348137,MGYP003683840451,MGYP003685371009,MGYP003685853465,MGYP003687495399,MGYP003688342445,MGYP003688714711,MGYP003689518567,MGYP003691409893	MGYP003683348137,MGYP003683840451,MGYP003685371009,MGYP003685853465,MGYP003687495399,MGYP003688342445,MGYP003688714711,MGYP003689518567,MGYP003691409893					9.09	9.09	53.41	1	1	1	1	1	1	Oxidation of M (M146)	Oxidation of M (1)			63.312200569557874	19.51995893591854	73.36412625096229	Doubtful
544	Related Proteins	MGYP000142561610		MGYP000142561610,MGYP000455471187,MGYP003685598537,MGYP003687289347	MGYP000455471187,MGYP003685598537,MGYP003687289347					4.13	4.13	62.26	1	1	1	1	1	1					29.5709679306917	39.294259235218306	73.36412625096229	Doubtful
545	Related Proteins	MGYP000172393512		MGYP000172393512,MGYP003682459887,MGYP003684104787,MGYP003685277011,MGYP003685315663,MGYP003685747117,MGYP003687137127,MGYP003687959327,MGYP003687968963,MGYP003689452221	MGYP003682459887,MGYP003684104787,MGYP003685277011,MGYP003685315663,MGYP003685747117,MGYP003687137127,MGYP003687959327,MGYP003687968963,MGYP003689452221					3.04	3.04	65.75	1	1	1	1	1	1					29.8389827457735	38.277274078159856	73.36412625096229	Doubtful
546	Related Proteins	MGYP003683343407		MGYP003683343407,MGYP003685646035,MGYP003687590851,MGYP003688112381	MGYP003685646035,MGYP003687590851,MGYP003688112381					8.64	8.64	75.68	4	4	1	1	5	5	Oxidation of M (M331)	Oxidation of M (1)			51.80089137509281	67.38231966381208	73.36412625096229	Confident
547	Single Protein	MGYP003684113931		MGYP003684113931						9.26	9.26	24.69	1	1	1	1	1	1					64.55361626700018	16.526056799112528	73.36412625096229	Doubtful
548	Single Protein	MGYP003691814379		MGYP003691814379						16.57	16.57	57.14	2	2	1	1	2	2					89.78821171682752	19.837846893729637	73.36412625096229	Confident
549	Related Proteins	MGYP003684432171		MGYP003684432171,MGYP003686511951	MGYP003686511951					6.3	6.3	75.21	2	2	1	1	2	2					94.51390707034476	26.31041739577633	73.36412625096229	Doubtful
550	Single Protein	MGYP900000096021		MGYP900000096021						8.16	8.16	87.76	1	1	1	1	1	1					76.56359138644208	16.22801800720756	73.36412625096229	Doubtful
551	Single Protein	MGYP003684479105		MGYP003684479105						25.79	25.79	25.79	4	4	1	1	4	4	Oxidation of M (M36, M117, M163)	Oxidation of M (3)			140.42706097892457	21.892259699407738	73.36412625096229	Confident
552	Single Protein	MGYP003687835373		MGYP003687835373						12.77	12.77	55.32	1	1	1	1	2	2					148.52185396768462	15.73098048869807	83.50202429149797	Doubtful
553	Related Proteins	MGYP001308633042		MGYP001308633042,MGYP001331842773,MGYP003683055491,MGYP003683592395,MGYP003683595905,MGYP003683611291,MGYP003683611607,MGYP003683855413,MGYP003683968765,MGYP003684530559,MGYP003684631991,MGYP003685189829,MGYP003685613747,MGYP003685709225,MGYP003685814649,MGYP003686116989,MGYP003686418747,MGYP003687937355,MGYP003688848353,MGYP003689130207,MGYP003689140825,MGYP003689875031,MGYP003689986647,MGYP003690222305,MGYP003690398329,MGYP003690594527,MGYP003690750869,MGYP003691151947,MGYP003691187561,MGYP003691376793,MGYP003691483527,MGYP003691511871,MGYP003691611759,MGYP003691667497,MGYP003691765693	MGYP001331842773,MGYP003683055491,MGYP003683592395,MGYP003683595905,MGYP003683611291,MGYP003683611607,MGYP003683855413,MGYP003683968765,MGYP003684530559,MGYP003684631991,MGYP003685189829,MGYP003685613747,MGYP003685709225,MGYP003685814649,MGYP003686116989,MGYP003686418747,MGYP003687937355,MGYP003688848353,MGYP003689130207,MGYP003689140825,MGYP003689875031,MGYP003689986647,MGYP003690222305,MGYP003690398329,MGYP003690594527,MGYP003690750869,MGYP003691151947,MGYP003691187561,MGYP003691376793,MGYP003691483527,MGYP003691511871,MGYP003691611759,MGYP003691667497,MGYP003691765693					61.29	61.29	87.1	1	1	1	1	1	1					365.803825513001	3.4158840762598204	73.36412625096229	Doubtful
554	Related Proteins	MGYP000555384564		MGYP000555384564,MGYP003682364199,MGYP003686667723,MGYP003688701811	MGYP003682364199,MGYP003686667723,MGYP003688701811					11.97	11.97	33.42	3	3	2	2	3	3	Oxidation of M (M69, M83)	Oxidation of M (2)			77.56573263495572	42.50341351709291	81.60152526215442	Confident
555	Related Proteins	MGYP000011742661		MGYP000011742661,MGYP000016500101,MGYP000061145781,MGYP000062946823,MGYP000090140107,MGYP000192683934,MGYP000238702990,MGYP000297452343,MGYP000312288607,MGYP000323107145,MGYP000328682789,MGYP000337530911,MGYP000372917333,MGYP000377126702,MGYP000390601737,MGYP000529802490,MGYP000543583129,MGYP000547585912,MGYP000561938692,MGYP000602574441,MGYP000609992729,MGYP000610250236,MGYP000617990030,MGYP000623715840,MGYP000994520305,MGYP001100379057,MGYP001331851270,MGYP001586102921,MGYP003682298775,MGYP003682376935,MGYP003682510359,MGYP003682519959,MGYP003682628173,MGYP003682815103,MGYP003682987971,MGYP003683682965,MGYP003683887643,MGYP003684202339,MGYP003684216313,MGYP003684287823,MGYP003685489723,MGYP003685677469,MGYP003685804203,MGYP003686046635,MGYP003686493617,MGYP003686783607,MGYP003687374051,MGYP003687602691,MGYP003687730951,MGYP003687843453,MGYP003688078587,MGYP003688229971,MGYP003688288471,MGYP003688324373,MGYP003689379223,MGYP003689425103,MGYP003689573739,MGYP003689926077,MGYP003690459671,MGYP003690679091,MGYP003690679805,MGYP003691149107,MGYP003691343899,MGYP003691406763,MGYP003691457075,MGYP003691483733,MGYP003691542685,MGYP003692089837	MGYP000016500101,MGYP000061145781,MGYP000062946823,MGYP000090140107,MGYP000192683934,MGYP000238702990,MGYP000297452343,MGYP000312288607,MGYP000323107145,MGYP000328682789,MGYP000337530911,MGYP000372917333,MGYP000377126702,MGYP000390601737,MGYP000529802490,MGYP000543583129,MGYP000547585912,MGYP000561938692,MGYP000602574441,MGYP000609992729,MGYP000610250236,MGYP000617990030,MGYP000623715840,MGYP000994520305,MGYP001100379057,MGYP001331851270,MGYP001586102921,MGYP003682298775,MGYP003682376935,MGYP003682510359,MGYP003682519959,MGYP003682628173,MGYP003682815103,MGYP003682987971,MGYP003683682965,MGYP003683887643,MGYP003684202339,MGYP003684216313,MGYP003684287823,MGYP003685489723,MGYP003685677469,MGYP003685804203,MGYP003686046635,MGYP003686493617,MGYP003686783607,MGYP003687374051,MGYP003687602691,MGYP003687730951,MGYP003687843453,MGYP003688078587,MGYP003688229971,MGYP003688288471,MGYP003688324373,MGYP003689379223,MGYP003689425103,MGYP003689573739,MGYP003689926077,MGYP003690459671,MGYP003690679091,MGYP003690679805,MGYP003691149107,MGYP003691343899,MGYP003691406763,MGYP003691457075,MGYP003691483733,MGYP003691542685,MGYP003692089837					7.91	8.63	90.65	2	1	2	1	2	1					78.38653403850022	15.16319653476512	79.61783439490446	Doubtful
556	Related Proteins	MGYP001151852763		MGYP001151852763,MGYP003682286869,MGYP003683301073,MGYP003683439023,MGYP003683479087,MGYP003683938243,MGYP003685971027,MGYP003686522123	MGYP003682286869,MGYP003683301073,MGYP003683439023,MGYP003683479087,MGYP003683938243,MGYP003685971027,MGYP003686522123					5.64	5.64	61.13	2	2	1	1	2	2					23.666221938141437	77.40519858944275	73.36412625096229	Doubtful
557	Single Protein	MGYP003686894549		MGYP003686894549						8.29	8.29	52.85	1	1	1	1	1	1					57.75849876521069	20.73569795130413	73.36412625096229	Doubtful
558	Related Proteins	MGYP000422685164		MGYP000422685164,MGYP000943687339,MGYP001582237885,MGYP003682107489	MGYP000943687339,MGYP001582237885,MGYP003682107489					3.48	3.48	50.43	1	1	1	1	1	1					32.17167195065481	37.786548290248945	73.36412625096229	Doubtful
559	Related Proteins	MGYP003688458473		MGYP003688458473,MGYP003688560905,MGYP003692471265	MGYP003688560905,MGYP003692471265					7.69	7.69	34.62	1	1	1	1	1	1					56.762662579603614	19.40229254143221	73.36412625096229	Doubtful
560	Single Protein	MGYP900000096008		MGYP900000096008						12.5	12.5	89.42	1	1	1	1	1	1					106.20111063280676	11.59870112100013	73.36412625096229	Doubtful
561	Related Proteins	MGYP003683336049		MGYP003683336049,MGYP003684512867,MGYP003684637185,MGYP003686056677,MGYP003686290429,MGYP003687736627,MGYP003688384389,MGYP003688590879,MGYP003689034915,MGYP003689103485,MGYP003689492639,MGYP003690385493,MGYP003690558205,MGYP003690865311,MGYP003691100277,MGYP003691378401	MGYP003684512867,MGYP003684637185,MGYP003686056677,MGYP003686290429,MGYP003687736627,MGYP003688384389,MGYP003688590879,MGYP003689034915,MGYP003689103485,MGYP003689492639,MGYP003690385493,MGYP003690558205,MGYP003690865311,MGYP003691100277,MGYP003691378401					8.29	8.29	85.08	1	1	1	1	2	2					128.2688738811822	19.98238953065928	83.50202429149797	Doubtful
562	Related Proteins	MGYP000013961955		MGYP000013961955,MGYP003682149191,MGYP003682214667,MGYP003684280869,MGYP003685412651,MGYP003685593013,MGYP003685766913,MGYP003691509759	MGYP003682149191,MGYP003682214667,MGYP003684280869,MGYP003685412651,MGYP003685593013,MGYP003685766913,MGYP003691509759					7.32	7.32	70.73	3	3	1	1	4	4					89.18016513635239	54.46314141955355	73.36412625096229	Confident
563	Single Protein	MGYP003684671891		MGYP003684671891						5.67	10.53	32.39	2	1	2	1	3	1	Oxidation of M (M226, M228)	Oxidation of M (2)			60.967304252166834	26.258774372983773	79.61783439490446	Doubtful
564	Related Proteins	MGYP003684973281		MGYP003684973281,MGYP003685407811,MGYP003685789223,MGYP003686142059,MGYP003686719069,MGYP003688161653,MGYP003688713231,MGYP003689022661,MGYP003689977143,MGYP003691216583	MGYP003685407811,MGYP003685789223,MGYP003686142059,MGYP003686719069,MGYP003688161653,MGYP003688713231,MGYP003689022661,MGYP003689977143,MGYP003691216583					23.64	23.64	89.09	2	2	2	2	2	2	Oxidation of M (M8)	Oxidation of M (1)			403.13074648371537	5.992090054966891	81.60152526215442	Confident
565	Related Proteins	MGYP000101630402		MGYP000101630402,MGYP003682705345,MGYP003683444563,MGYP003686086473,MGYP003687670189,MGYP003687760439,MGYP003687777281,MGYP003688985271,MGYP003689820657,MGYP003691195075	MGYP003682705345,MGYP003683444563,MGYP003686086473,MGYP003687670189,MGYP003687760439,MGYP003687777281,MGYP003688985271,MGYP003689820657,MGYP003691195075					16.84	16.84	60.0	1	1	1	1	1	1					110.97419425675312	9.79666499251912	73.36412625096229	Doubtful
566	Related Proteins	MGYP000387304387		MGYP000387304387,MGYP000532737391,MGYP001811820305,MGYP003682154759,MGYP003687977035,MGYP003688902729,MGYP003691049555	MGYP000532737391,MGYP001811820305,MGYP003682154759,MGYP003687977035,MGYP003688902729,MGYP003691049555					12.0	12.0	91.0	1	1	1	1	1	1					108.53520097638494	11.031563150104219	73.36412625096229	Doubtful
567	Related Proteins	MGYP000134761812		MGYP000134761812,MGYP003682313209,MGYP003683018049,MGYP003686834763,MGYP003688714711,MGYP003689518567,MGYP003690622303,MGYP003690906019,MGYP003691409893	MGYP003682313209,MGYP003683018049,MGYP003686834763,MGYP003688714711,MGYP003689518567,MGYP003690622303,MGYP003690906019,MGYP003691409893					11.82	11.82	60.91	1	1	1	1	1	1	Oxidation of M (M10, M17)	Oxidation of M (2)			99.76467968536393	12.197075127271269	73.36412625096229	Doubtful
568	Related Proteins	MGYP000537690303		MGYP000537690303,MGYP000724403440,MGYP001566477166	MGYP000724403440,MGYP001566477166					54.69	71.88	87.5	4	3	3	2	4	3					440.92425396656375	7.10145665246874	81.60152526215442	Confident
569	Related Proteins	MGYP000122263030		MGYP000122263030,MGYP000140761945,MGYP003682382839,MGYP003690290237,MGYP003691637867	MGYP000140761945,MGYP003682382839,MGYP003690290237,MGYP003691637867					7.76	7.76	50.97	2	2	1	1	3	3					118.04824648029117	38.6926245283246	73.36412625096229	Confident
570	Related Proteins	MGYP000337533279		MGYP000337533279,MGYP003682068861,MGYP003682176759,MGYP003682955565,MGYP003683020751,MGYP003683148443,MGYP003683244681,MGYP003683368071,MGYP003683560957,MGYP003683677603,MGYP003683806773,MGYP003684202819,MGYP003684631931,MGYP003684645767,MGYP003684709039,MGYP003684833879,MGYP003684866337,MGYP003684963151,MGYP003685427715,MGYP003685589823,MGYP003685624711,MGYP003685929885,MGYP003686385547,MGYP003687054875,MGYP003687289895,MGYP003687324785,MGYP003688077485,MGYP003688885757,MGYP003689034719,MGYP003690083907,MGYP003691302019	MGYP003682068861,MGYP003682176759,MGYP003682955565,MGYP003683020751,MGYP003683148443,MGYP003683244681,MGYP003683368071,MGYP003683560957,MGYP003683677603,MGYP003683806773,MGYP003684202819,MGYP003684631931,MGYP003684645767,MGYP003684709039,MGYP003684833879,MGYP003684866337,MGYP003684963151,MGYP003685427715,MGYP003685589823,MGYP003685624711,MGYP003685929885,MGYP003686385547,MGYP003687054875,MGYP003687289895,MGYP003687324785,MGYP003688077485,MGYP003688885757,MGYP003689034719,MGYP003690083907,MGYP003691302019					1.42	1.42	33.84	1	1	1	1	2	2					25.48826655187362	106.4152837295904	83.50202429149797	Doubtful
571	Related Proteins	MGYP000902024717		MGYP000902024717,MGYP003682044671,MGYP003682457733,MGYP003683112625,MGYP003683678063,MGYP003683982437,MGYP003684159609,MGYP003685304233,MGYP003685615569,MGYP003686194719,MGYP003686248263,MGYP003686529567,MGYP003690894543	MGYP003682044671,MGYP003682457733,MGYP003683112625,MGYP003683678063,MGYP003683982437,MGYP003684159609,MGYP003685304233,MGYP003685615569,MGYP003686194719,MGYP003686248263,MGYP003686529567,MGYP003690894543					4.64	4.64	87.7	1	1	1	1	1	1					26.128844679500073	47.62916000426293	73.36412625096229	Doubtful
572	Related Proteins	MGYP000213675552		MGYP000213675552,MGYP000279826878,MGYP000321357531,MGYP000453789453,MGYP003567448093,MGYP003682448493,MGYP003682847929,MGYP003683192499,MGYP003683265543,MGYP003683366845,MGYP003683490519,MGYP003683902793,MGYP003684112377,MGYP003684129899,MGYP003684977947,MGYP003685021909,MGYP003686685153,MGYP003686886837,MGYP003687977871,MGYP003688296053,MGYP003689080745,MGYP003690390427,MGYP003691106219,MGYP003691332949,MGYP003691776383	MGYP000279826878,MGYP000321357531,MGYP000453789453,MGYP003567448093,MGYP003682448493,MGYP003682847929,MGYP003683192499,MGYP003683265543,MGYP003683366845,MGYP003683490519,MGYP003683902793,MGYP003684112377,MGYP003684129899,MGYP003684977947,MGYP003685021909,MGYP003686685153,MGYP003686886837,MGYP003687977871,MGYP003688296053,MGYP003689080745,MGYP003690390427,MGYP003691106219,MGYP003691332949,MGYP003691776383					9.6	9.6	67.2	1	1	1	1	1	1					88.18485079331273	12.89185573677309	73.36412625096229	Doubtful
573	Related Proteins	MGYP003682186373		MGYP003682186373,MGYP003684078599,MGYP003684509111,MGYP003685763779,MGYP003685768999,MGYP003686650315,MGYP003687617151,MGYP003692475683	MGYP003684078599,MGYP003684509111,MGYP003685763779,MGYP003685768999,MGYP003686650315,MGYP003687617151,MGYP003692475683					2.46	2.46	37.85	1	1	1	1	1	1					21.424519064752772	61.34377531764906	73.36412625096229	Doubtful
574	Related Proteins	MGYP000043839489		MGYP000043839489,MGYP000427180423,MGYP001084377352,MGYP002640182237,MGYP003682256583,MGYP003683699833,MGYP003684083311,MGYP003684149553,MGYP003684190181,MGYP003684465573,MGYP003684480743,MGYP003684750789,MGYP003685541935,MGYP003685557313,MGYP003685807485,MGYP003686157703,MGYP003686242659,MGYP003686378593,MGYP003686420257,MGYP003686742573,MGYP003686853291,MGYP003687625191,MGYP003688170755,MGYP003688273865,MGYP003688684789,MGYP003689468145,MGYP003689572629,MGYP003690392039,MGYP003690536991,MGYP003690747837,MGYP003690751707,MGYP003690887581,MGYP003691294137	MGYP000427180423,MGYP001084377352,MGYP002640182237,MGYP003682256583,MGYP003683699833,MGYP003684083311,MGYP003684149553,MGYP003684190181,MGYP003684465573,MGYP003684480743,MGYP003684750789,MGYP003685541935,MGYP003685557313,MGYP003685807485,MGYP003686157703,MGYP003686242659,MGYP003686378593,MGYP003686420257,MGYP003686742573,MGYP003686853291,MGYP003687625191,MGYP003688170755,MGYP003688273865,MGYP003688684789,MGYP003689468145,MGYP003689572629,MGYP003690392039,MGYP003690536991,MGYP003690747837,MGYP003690751707,MGYP003690887581,MGYP003691294137					4.04	4.04	72.98	1	1	1	1	1	1					27.900291776415337	43.13703905557047	73.36412625096229	Doubtful
575	Related Proteins	MGYP003684981595		MGYP003684981595,MGYP003686248373,MGYP003686463929,MGYP003687056279,MGYP003688472895,MGYP003689201885	MGYP003686248373,MGYP003686463929,MGYP003687056279,MGYP003688472895,MGYP003689201885					21.45	21.45	89.97	4	4	1	1	5	5	Oxidation of M (M159)	Oxidation of M (1)			170.94294153780626	31.170622771068142	73.36412625096229	Confident
576	Related Proteins	MGYP003685962331		MGYP003685962331,MGYP003686275415	MGYP003686275415					9.09	9.09	85.31	1	1	1	1	1	1					80.9565843348445	15.72524204849961	73.36412625096229	Doubtful
577	Related Proteins	MGYP003683768551		MGYP003683768551,MGYP003684007019,MGYP003684109571,MGYP003684709639,MGYP003685981423,MGYP003686006873,MGYP003687596713,MGYP003688963285,MGYP003689211033,MGYP003690698253	MGYP003684007019,MGYP003684109571,MGYP003684709639,MGYP003685981423,MGYP003686006873,MGYP003687596713,MGYP003688963285,MGYP003689211033,MGYP003690698253					2.64	2.64	59.86	1	1	1	1	1	1					25.389982747689015	44.44551886146748	64.0	Doubtful
578	Related Proteins	MGYP003682851123		MGYP003682851123,MGYP003683463487,MGYP003684012753,MGYP003684037401,MGYP003685486821,MGYP003685961931,MGYP003687881239,MGYP003689584175,MGYP003689905603,MGYP003690282281,MGYP003690283351,MGYP003690495551,MGYP003691153689,MGYP003691211317,MGYP003691245687,MGYP003691914365,MGYP003692156147	MGYP003683463487,MGYP003684012753,MGYP003684037401,MGYP003685486821,MGYP003685961931,MGYP003687881239,MGYP003689584175,MGYP003689905603,MGYP003690282281,MGYP003690283351,MGYP003690495551,MGYP003691153689,MGYP003691211317,MGYP003691245687,MGYP003691914365,MGYP003692156147					6.7	6.7	86.59	1	1	1	1	1	1					63.720666379684054	19.16872349463491	73.36412625096229	Doubtful
579	Related Proteins	MGYP000110472196		MGYP000110472196,MGYP000607178634,MGYP000868127961,MGYP001134904508,MGYP001136505317,MGYP001450594973,MGYP001590232707,MGYP003682530213,MGYP003682550127,MGYP003682998061,MGYP003683026145,MGYP003683192885,MGYP003683497659,MGYP003683548389,MGYP003684115383,MGYP003684308891,MGYP003684375099,MGYP003684416119,MGYP003684564113,MGYP003684736579,MGYP003685388069,MGYP003685413437,MGYP003686072537,MGYP003686231851,MGYP003686314951,MGYP003686761375,MGYP003686901487,MGYP003687602525,MGYP003687685963,MGYP003688094821,MGYP003688207525,MGYP003688258195,MGYP003688262271,MGYP003688301303,MGYP003688399237,MGYP003688411595,MGYP003688422123,MGYP003688439255,MGYP003688736805,MGYP003689042671,MGYP003689179179,MGYP003689384453,MGYP003689454103,MGYP003689476849,MGYP003689802797,MGYP003689982093,MGYP003690015795,MGYP003690313777,MGYP003690401443,MGYP003690970649,MGYP003691120651,MGYP003691508443,MGYP003692111881	MGYP000607178634,MGYP000868127961,MGYP001134904508,MGYP001136505317,MGYP001450594973,MGYP001590232707,MGYP003682530213,MGYP003682550127,MGYP003682998061,MGYP003683026145,MGYP003683192885,MGYP003683497659,MGYP003683548389,MGYP003684115383,MGYP003684308891,MGYP003684375099,MGYP003684416119,MGYP003684564113,MGYP003684736579,MGYP003685388069,MGYP003685413437,MGYP003686072537,MGYP003686231851,MGYP003686314951,MGYP003686761375,MGYP003686901487,MGYP003687602525,MGYP003687685963,MGYP003688094821,MGYP003688207525,MGYP003688258195,MGYP003688262271,MGYP003688301303,MGYP003688399237,MGYP003688411595,MGYP003688422123,MGYP003688439255,MGYP003688736805,MGYP003689042671,MGYP003689179179,MGYP003689384453,MGYP003689454103,MGYP003689476849,MGYP003689802797,MGYP003689982093,MGYP003690015795,MGYP003690313777,MGYP003690401443,MGYP003690970649,MGYP003691120651,MGYP003691508443,MGYP003692111881					19.19	19.19	89.9	1	1	1	1	1	1	Oxidation of M (M84)	Oxidation of M (1)			110.97419425675312	10.74839744086931	73.36412625096229	Doubtful
580	Related Proteins	MGYP001564832809		MGYP001564832809,MGYP003684547155	MGYP003684547155					3.19	5.51	61.16	2	1	1	1	2	1					40.31307464837155	37.70211992705434	73.36412625096229	Doubtful
581	Related Proteins	MGYP003682376349		MGYP003682376349,MGYP003683079769,MGYP003683231011,MGYP003683481733,MGYP003683568279,MGYP003685486821,MGYP003685551205,MGYP003685713837,MGYP003685961931,MGYP003686466049,MGYP003686735845,MGYP003686816093,MGYP003687881239,MGYP003688428111,MGYP003689549989,MGYP003689584175,MGYP003689732997,MGYP003689905603,MGYP003690269545,MGYP003690283351,MGYP003690328503,MGYP003690495551,MGYP003691519721,MGYP003691771271,MGYP003692156147	MGYP003683079769,MGYP003683231011,MGYP003683481733,MGYP003683568279,MGYP003685486821,MGYP003685551205,MGYP003685713837,MGYP003685961931,MGYP003686466049,MGYP003686735845,MGYP003686816093,MGYP003687881239,MGYP003688428111,MGYP003689549989,MGYP003689584175,MGYP003689732997,MGYP003689905603,MGYP003690269545,MGYP003690283351,MGYP003690328503,MGYP003690495551,MGYP003691519721,MGYP003691771271,MGYP003692156147					2.92	2.92	80.7	1	1	1	1	1	1					32.59638049125752	36.75545617412613	73.36412625096229	Doubtful
582	Single Protein	MGYP003682006019		MGYP003682006019						12.5	12.5	33.65	1	1	1	1	1	1					102.88232592553153	10.720376583947191	73.36412625096229	Doubtful
